Name,Sw nonHA,Sh nonHA,Sw HA,Sh HA,-
Venusaur,"[145](https://www.serebii.net/swordshield/maxraidbattles/den145.shtml), [154](https://www.serebii.net/swordshield/maxraidbattles/den154.shtml)","[145](https://www.serebii.net/swordshield/maxraidbattles/den145.shtml), [154](https://www.serebii.net/swordshield/maxraidbattles/den154.shtml)","[145](https://www.serebii.net/swordshield/maxraidbattles/den145.shtml), [154](https://www.serebii.net/swordshield/maxraidbattles/den154.shtml)","[145](https://www.serebii.net/swordshield/maxraidbattles/den145.shtml), [154](https://www.serebii.net/swordshield/maxraidbattles/den154.shtml)",-
Charmander,"[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)","[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)",None,None,-
Charmeleon,"[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)","[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)",None,None,-
Charizard,"[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)","[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)","[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)","[53](https://www.serebii.net/swordshield/maxraidbattles/den53.shtml), [77](https://www.serebii.net/swordshield/maxraidbattles/den77.shtml)",-
Blastoise,"[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)","[146](https://www.serebii.net/swordshield/maxraidbattles/den146.shtml), [155](https://www.serebii.net/swordshield/maxraidbattles/den155.shtml)",-
Caterpie,"[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml)","[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml)",None,None,-
Metapod,"[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml)","[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml)",None,None,-
Butterfree,"[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml), [90](https://www.serebii.net/swordshield/maxraidbattles/den90.shtml)","[4](https://www.serebii.net/swordshield/maxraidbattles/den4.shtml), [5](https://www.serebii.net/swordshield/maxraidbattles/den5.shtml), [61](https://www.serebii.net/swordshield/maxraidbattles/den61.shtml), [89](https://www.serebii.net/swordshield/maxraidbattles/den89.shtml), [90](https://www.serebii.net/swordshield/maxraidbattles/den90.shtml)",[90](https://www.serebii.net/swordshield/maxraidbattles/den90.shtml),[90](https://www.serebii.net/swordshield/maxraidbattles/den90.shtml),-
Pikachu,"[24](https://www.serebii.net/swordshield/maxraidbattles/den24.shtml), [25](https://www.serebii.net/swordshield/maxraidbattles/den25.shtml), [56](https://www.serebii.net/swordshield/maxraidbattles/den56.shtml), [57](https://www.serebii.net/swordshield/maxraidbattles/den57.shtml), [72](https://www.serebii.net/swordshield/maxraidbattles/den72.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)","[24](https://www.serebii.net/swordshield/maxraidbattles/den24.shtml), [25](https://www.serebii.net/swordshield/maxraidbattles/den25.shtml), [56](https://www.serebii.net/swordshield/maxraidbattles/den56.shtml), [57](https://www.serebii.net/swordshield/maxraidbattles/den57.shtml), [72](https://www.serebii.net/swordshield/maxraidbattles/den72.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)","[72](https://www.serebii.net/swordshield/maxraidbattles/den72.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)","[72](https://www.serebii.net/swordshield/maxraidbattles/den72.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)",-
Raichu,"[24](https://www.serebii.net/swordshield/maxraidbattles/den24.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)","[24](https://www.serebii.net/swordshield/maxraidbattles/den24.shtml), [106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml)",[106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml),[106](https://www.serebii.net/swordshield/maxraidbattles/den106.shtml),-
