Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#001,Bulbasaur,Generation I,Grass,Poison,45,49,49,65,65,45,318,45,Overgrow,Unknown,Chlorophyll,87.5,12.5,0.7,6.9,Monster,Grass,Unknown,Unknown,0,
#002,Ivysaur,Generation I,Grass,Poison,60,62,63,80,80,60,405,45,Overgrow,Unknown,Chlorophyll,87.5,12.5,1,13,Monster,Grass,Unknown,Unknown,0,
#003,Venusaur,Generation I,Grass,Poison,80,82,83,100,100,80,525,45,Overgrow,Unknown,Chlorophyll,87.5,12.5,2,100,Monster,Grass,"145, 154","145, 154",0,
#004,Charmander,Generation I,Fire,Unknown,39,52,43,60,50,65,309,45,Blaze,Unknown,Solar Power,87.5,12.5,0.6,8.5,Monster,Dragon,"53, 77","53, 77",0,
#005,Charmeleon,Generation I,Fire,Unknown,58,64,58,80,65,80,405,45,Blaze,Unknown,Solar Power,87.5,12.5,1.1,19,Monster,Dragon,"53, 77","53, 77",0,
#006,Charizard,Generation I,Fire,Flying,78,84,78,109,85,100,534,45,Blaze,Unknown,Solar Power,87.5,12.5,1.7,90.5,Monster,Dragon,"53, 77, 114","53, 77, 114",0,
#007,Squirtle,Generation I,Water,Unknown,44,48,65,50,64,43,314,45,Torrent,Unknown,Rain Dish,87.5,12.5,0.5,9,Monster,Water 1,Unknown,Unknown,0,
#008,Wartortle,Generation I,Water,Unknown,59,63,80,65,80,58,405,45,Torrent,Unknown,Rain Dish,87.5,12.5,1,22.5,Monster,Water 1,Unknown,Unknown,0,
#009,Blastoise,Generation I,Water,Unknown,79,83,100,85,105,78,530,45,Torrent,Unknown,Rain Dish,87.5,12.5,1.6,85.5,Monster,Water 1,"146, 155","146, 155",0,
#010,Caterpie,Generation I,Bug,Unknown,45,30,35,20,20,45,195,255,Shield Dust,Unknown,Run Away,50,50,0.3,2.9,Bug,Unknown,"4, 5","4, 5",0,
#011,Metapod,Generation I,Bug,Unknown,50,20,55,25,25,30,205,120,Shed Skin,Unknown,Unknown,50,50,0.7,9.9,Bug,Unknown,"4, 5","4, 5",0,
#012,Butterfree,Generation I,Bug,Flying,60,45,50,80,80,70,385,45,Compound Eyes,Unknown,Tinted Lens,50,50,1.1,32,Bug,Unknown,"4, 5, 61, 89, 90","4, 5, 61, 89, 90",0,
#013,Weedle,Generation I,Bug,Poison,40,35,30,20,20,50,195,255,Shield Dust,Unknown,Run Away,50,50,0.3,3.2,Bug,Unknown,Unknown,Unknown,0,
#014,Kakuna,Generation I,Bug,Poison,45,25,50,25,25,35,205,120,Shed Skin,Unknown,Unknown,50,50,0.6,10,Bug,Unknown,Unknown,Unknown,0,
#015,Beedrill,Generation I,Bug,Poison,65,80,40,45,80,75,385,45,Swarm,Unknown,Sniper,50,50,1,29.5,Bug,Unknown,Unknown,Unknown,0,
#016,Pidgey,Generation I,Normal,Flying,40,45,40,35,35,56,251,255,Keen Eye,Tangled Feet,Big Pecks,50,50,0.3,1.8,Flying,Unknown,Unknown,Unknown,0,
#017,Pidgeotto,Generation I,Normal,Flying,63,60,55,50,50,71,349,120,Keen Eye,Tangled Feet,Big Pecks,50,50,1.1,30,Flying,Unknown,Unknown,Unknown,0,
#018,Pidgeot,Generation I,Normal,Flying,83,80,75,70,70,91,469,45,Keen Eye,Tangled Feet,Big Pecks,50,50,1.5,39.5,Flying,Unknown,Unknown,Unknown,0,
#019,Rattata,Generation I,Normal,Unknown,30,56,35,25,35,72,253,255,Run Away,Guts,Hustle,50,50,0.3,3.5,Field,Unknown,Unknown,Unknown,0,
#020,Raticate,Generation I,Normal,Unknown,55,81,60,50,70,97,413,127,Run Away,Guts,Hustle,50,50,0.7,18.5,Field,Unknown,Unknown,Unknown,0,
#021,Spearow,Generation I,Normal,Flying,40,60,30,31,31,70,262,255,Keen Eye,Unknown,Sniper,50,50,0.3,2,Flying,Unknown,Unknown,Unknown,0,
#022,Fearow,Generation I,Normal,Flying,65,90,65,61,61,100,442,90,Keen Eye,Unknown,Sniper,50,50,1.2,38,Flying,Unknown,Unknown,Unknown,0,
#023,Ekans,Generation I,Poison,Unknown,35,60,44,40,54,55,288,255,Intimidate,Shed Skin,Unnerve,50,50,2,6.9,Field,Dragon,Unknown,Unknown,0,
#024,Arbok,Generation I,Poison,Unknown,60,85,69,65,79,80,438,90,Intimidate,Shed Skin,Unnerve,50,50,3.5,65,Field,Dragon,Unknown,Unknown,0,
#025,Pikachu,Generation I,Electric,Unknown,35,55,30,50,40,90,300,190,Static,Unknown,Lightning Rod,50,50,0.4,6,Field,Fairy,"24, 25, 56, 57, 72, 106","24, 25, 56, 57, 72, 106",0,
#026,Raichu,Generation I,Electric,Unknown,60,90,55,90,80,100,475,75,Static,Unknown,Lightning Rod,50,50,0.8,30,Field,Fairy,"24, 106","24, 106",0,
#027,Sandshrew,Generation I,Ground,Unknown,50,75,85,20,30,40,300,255,Sand Veil,Unknown,Sand Rush,50,50,0.6,12,Field,Unknown,"103, 104","103, 104",0,
#028,Sandslash,Generation I,Ground,Unknown,75,100,110,45,55,65,450,90,Sand Veil,Unknown,Sand Rush,50,50,1,29.5,Field,Unknown,"103, 104, 150","103, 104, 150",0,
#029,Nidoranf,Generation I,Poison,Unknown,55,47,52,40,40,41,275,235,Poison Point,Rivalry,Hustle,0,100,0.4,7,Monster,Field,Unknown,Unknown,0,
#030,Nidorina,Generation I,Poison,Unknown,70,62,67,55,55,56,365,120,Poison Point,Rivalry,Hustle,0,100,0.8,20,Undiscovered,Unknown,Unknown,Unknown,1,
#031,Nidoqueen,Generation I,Poison,Ground,90,82,87,75,85,76,495,45,Poison Point,Rivalry,Sheer Force,0,100,1.3,60,Undiscovered,Unknown,Unknown,Unknown,0,
