Dex No.,Name,Generation,Primary Type,Secondary Type,Health,Attack,Defense,Sp. Attack,Sp. Defense,Speed,BST,Catch Rate,Ability 1,Ability 2,Hidden Ability,Male Ratio,Female Ratio,Height,Weight,Egg Group 1,Egg Group 2,Sword Dens,Sheild Dens,Moonstone Evo?,-
#052,Meowth,Generation VIII,Steel,Unknown,50,65,55,40,40,40,290,255,Pickup,Tough Claws,Unnerve,50,50,0.4,7.5,Field,Unknown,"11,49,85,130","11,49,85,130",0,
#077,Ponyta,Generation VIII,Psychic,Unknown,50,85,55,65,65,90,410,190,Run Away,Pastel Veil,Anticipation,50,50,0.8,24,Field,Unknown,Unknown,"13,82",0,
#078,Rapidash,Generation VIII,Psychic,Unknown,65,100,70,80,80,105,500,60,Run Away,Pastel Veil,Anticipation,50,50,1.7,80,Field,Unknown,Unknown,"13,34,62,82",0,
#079,Slowpoke,Generation VIII,Psychic,Unknown,90,65,65,40,40,15,315,190,Gluttony,Own Tempo,Regenerator,50,50,1.2,36,Monster,Water 1,118,118,0,
#080,Slowbro,Generation VIII,Poison,Psychic,95,100,95,100,70,30,490,75,Quick Draw,Own Tempo,Regenerator,50,50,1.6,70.5,Monster,Water 1,Unknown,Unknown,0,
#083,Farfetch'd,Generation VIII,Fighting,Unknown,52,95,55,58,62,55,377,45,Steadfast,Unknown,Scrappy,50,50,0.8,42,Flying,Field,"10,81",Unavailable,0,
#110,Weezing,Generation VIII,Poison,Fairy,65,90,120,85,70,60,490,60,Levitate,Neutralizing Gas,Misty Surge,50,50,3,16,Amorphous,Unknown,"30,60,86,120","30,60,86,120",0,
#122,Mrmime,Generation VIII,Ice,Psychic,50,65,65,90,90,100,460,45,Vital Spirit,Screen Cleaner,Ice Body,50,50,1.4,56.8,Human-Like,Unknown,"14,22,23,50,55,68,73","14,22,23,50,55,68,73,83",0,
#144,Articuno,Generation VIII,Psychic,Flying,90,85,100,95,125,85,580,3,Competitive,Unknown,???,0,0,1.7,50.9,Undiscovered,Unknown,Unknown,Unknown,0,
#145,Zapdos,Generation VIII,Fighting,Flying,90,90,85,125,90,100,580,3,Defiant,Unknown,???,0,0,1.6,52.6,Undiscovered,Unknown,Unknown,Unknown,0,
#146,Moltres,Generation VIII,Dark,Flying,90,100,90,125,85,90,580,3,Berserk,Unknown,???,0,0,2,60,Undiscovered,Unknown,Unknown,Unknown,0,
#199,Slowking,Generation VIII,Unknown,Unknown,0,0,0,0,0,0,0,0,???,???,???,50,50,0,0,Monster,Water 1,Unknown,Unknown,0,
#222,Corsola,Generation VIII,Ghost,Unknown,60,55,100,65,100,30,410,60,Weak Armor,Unknown,Cursed Body,25,75,0.6,0.5,Water 1,Water 3,Unknown,43.47.81,0,
#263,Zigzagoon,Generation VIII,Normal,Dark,38,30,41,30,41,60,240,255,Pickup,Gluttony,Quick Feet,50,50,0.4,17.5,Field,Unknown,"36,40,63,69,88","36,40,63,69,88",0,
#264,Linoone,Generation VIII,Normal,Dark,78,70,61,50,61,100,420,90,Pickup,Gluttony,Quick Feet,50,50,0.5,32.5,Field,Unknown,"36,40,63,69,88","36,40,63,69,88",0,
#554,Darumaka,Generation VIII,Ice,Unknown,70,90,45,15,45,50,315,120,Hustle,Unknown,Inner Focus,50,50,0.7,40,Field,Unknown,"18,20,23,55",Unknown,0,
#555,Darmanitan,Generation VIII,Ice,Unknown,105,140,55,30,55,95,480,60,Gorilla Tactics,Unknown,Zen Mode,50,50,1.7,120,Field,Unknown,"18,20,23,55",Unknown,0,
#555,Darmanitanzen,Generation VIII,Ice,Fire,105,160,55,30,55,135,540,60,Unknown,Unknown,Zen Mode,50,50,1.7,120,Field,Unknown,"18,20,23,55",Unknown,0,
#562,Yamask,Generation VIII,Ground,Ghost,38,55,85,30,65,30,303,190,Wandering Spirit,Unknown,Unknown,50,50,0.5,1.5,Mineral,Amorphous,17.49.52.85.93,"17,43,47,52,81,93",0,
#618,Stunfisk,Generation VIII,Ground,Steel,109,81,99,66,84,32,471,75,Mimicry,Unknown,Unknown,50,50,0.7,20.5,Water 1,Amorphous,"17,49,52,85,93","17,49,52,85,93",0,
