Dex #,Name,Generation,Type 1,Type 2,Height,Weight,Max CP,Atk,Def,Stamina,Shiny Available,Timed Shiny ,Raid Shiny,Egg Shiny,Resaearch Shiny
#003,Venusaur,Generation I,Grass,Poison,2,100,3698,241,246,190,Yes,No,Yes (Regular Form),No,No
#006,Xcharizard,Generation I,Fire,Dragon,1.7,90.5,3850,273,213,186,Yes,No,Yes (Regular Form),No,No
#006,Ycharizard,Generation I,Fire,Flying,1.7,90.5,4455,319,212,186,Yes,No,Yes (Regular Form),No,No
#009,Blastoise,Generation I,Water,Unknown,1.6,85.5,3941,264,237,188,Yes,No,Yes (Regular Form),No,No
#015,Beedrill,Generation I,Bug,Poison,1,29.5,3383,303,148,163,Yes,No,Yes (Regular Form),No,No
#018,Pidgeot,Generation I,Normal,Flying,1.5,39.5,3680,280,175,195,Yes,No,No,No,No
#065,Alakazam,Generation I,Psychic,Unknown,1.5,48,4510,367,207,146,Yes,No,No,No,No
#080,Slowbro,Generation I,Water,Psychic,1.6,78.5,3755,224,259,216,Yes,No,No,No,No
#094,Gengar,Generation I,Ghost,Poison,1.5,40.5,4336,349,199,155,Yes,No,No,No,No
#115,Kangaskhan,Generation I,Normal,Unknown,2.2,80,3850,246,210,233,Yes,No,No,No,No
#127,Pinsir,Generation I,Bug,Unknown,1.5,55,4182,305,231,163,Yes,No,No,No,No
#130,Gyarados,Generation I,Water,Flying,6.5,235,4717,292,247,216,Yes,No,No,No,No
#142,Aerodactyl,Generation I,Rock,Flying,1.8,59,4118,292,210,190,Yes,No,No,No,No
#150,Xmewtwo,Generation I,Psychic,Fighting,2,122,5429,375,202,214,Yes,No,No,No,No
#150,Ymewtwo,Generation I,Psychic,Unknown,2,122,5673,387,208,214,Yes,No,No,No,No
#181,Ampharos,Generation II,Electric,Unknown,1.4,61.5,4245,294,203,207,Yes,No,No,No,No
#208,Steelix,Generation II,Steel,Ground,9.2,400,3670,212,327,181,Yes,No,No,No,No
#212,Scizor,Generation II,Bug,Steel,1.8,118,4087,279,250,172,Yes,No,No,No,No
#214,Heracross,Generation II,Bug,Fighting,1.5,54,4814,334,223,190,No,No,No,No,No
#229,Houndoom,Generation II,Dark,Fire,1.4,35,3842,289,194,181,Yes,No,No,No,No
#248,Tyranitar,Generation II,Rock,Dark,2,202,5347,309,276,225,Yes,No,No,No,No
#254,Sceptile,Generation III,Grass,Unknown,1.7,52.2,4056,320,186,172,Yes,No,No,No,No
#257,Blaziken,Generation III,Fire,Fighting,1.9,52,4161,329,168,190,Yes,No,No,No,No
#260,Swampert,Generation III,Water,Ground,1.5,81.9,4401,283,218,225,Yes,No,No,No,No
#282,Gardevoir,Generation III,Psychic,Fairy,1.6,48.4,4512,326,229,169,Yes,No,No,No,No
#302,Sableye,Generation III,Dark,Ghost,0.5,11,1942,151,216,137,Yes,No,No,No,No
#303,Mawile,Generation III,Steel,Fairy,0.6,11.5,2380,188,217,137,Yes,No,No,No,No
#306,Aggron,Generation III,Steel,Rock,2.1,360,4162,247,331,172,Yes,No,No,No,No
#308,Medicham,Generation III,Fighting,Psychic,1.3,31.5,2495,205,179,155,Yes,No,No,No,No
#310,Manectric,Generation III,Electric,Unknown,1.5,40.2,3580,286,179,172,Yes,No,No,No,No
#319,Sharpedo,Generation III,Water,Dark,1.8,88.8,3273,289,144,172,Yes,No,No,No,No
#323,Camerupt,Generation III,Fire,Ground,1.9,220,3220,253,183,172,No,No,No,No,No
#334,Altaria,Generation III,Dragon,Flying,1.1,20.6,3163,222,218,181,Yes,No,No,No,No
#354,Banette,Generation III,Ghost,Unknown,1.1,12.5,3594,312,160,162,Yes,No,No,No,No
#359,Absol,Generation III,Dark,Unknown,1.2,47,3301,314,130,163,Yes,No,No,No,No
#362,Glalie,Generation III,Ice,Unknown,1.5,256.5,3229,252,168,190,Yes,No,No,No,No
#373,Salamence,Generation III,Dragon,Flying,1.5,102.6,5031,310,251,216,Yes,No,No,No,No
#376,Metagross,Generation III,Steel,Psychic,1.6,550,4911,300,289,190,Yes,No,No,No,No
#380,Latias,Generation III,Dragon,Psychic,1.4,40,4801,289,297,190,Yes,No,No,No,No
#381,Latios,Generation III,Dragon,Psychic,2,60,5007,335,241,190,Yes,No,No,No,No
#384,Rayquaza,Generation III,Dragon,Flying,7,206.5,5043,354,196,212,Yes,No,No,No,No
#428,Lopunny,Generation IV,Normal,Unknown,1.2,33.3,3745,282,214,163,Yes,No,No,No,No
#445,Garchomp,Generation IV,Dragon,Ground,1.9,95,5424,339,222,239,Yes,No,No,No,No
#448,Lucario,Generation IV,Fighting,Steel,1.2,54,3826,310,175,172,Yes,No,No,No,No
#460,Abomasnow,Generation IV,Grass,Ice,2.2,135.5,3405,240,191,207,Yes,No,No,No,No
#475,Gallade,Generation IV,Psychic,Fighting,1.6,52,4521,326,230,169,Yes,No,No,No,No
#531,Audino,Generation V,Normal,Unknown,1.1,31,2524,147,239,230,No,No,No,No,No
